Homolog	Inverted	Non_Inverted	Expected	Fisher_p	Haploblock	p.adj	Annot
AT5G07740	3	16	0.269685383711922	0.00232692552988083	ANN_05_01	0.00279807987270794	actin binding protein;(source:Araport11)
AT5G10980	11	8	0.269685383711922	2.91894364436554e-16	ANN_05_01	9.43791778344858e-15	Histone superfamily protein;(source:Araport11)
AT5G48930	9	7	0.227103481020566	2.29947246746349e-13	ANN_05_01	4.76171192933817e-12	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
AT1G17840	5	4	0.142814303920834	1.18396137412067e-07	ANN_11_01	6.50061811073802e-07	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.
AT1G22360	4	9	0.206287327885649	4.00732802638942e-05	ANN_11_01	7.9872086005433e-05	UDP-glucosyl transferase 85A2;(source:Araport11)
AT1G28220	3	1	0.063473023964815	1.57199209866642e-05	ANN_11_01	4.15863364283572e-05	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.
AT1G53440	6	5	0.174550815903241	6.73360587837985e-09	ANN_11_01	5.59851231602439e-08	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT1G55910	3	0	0.0476047679736112	3.97709230121637e-06	ANN_11_01	1.28592651072663e-05	member of Putative zinc transporter ZIP2 - like family
AT1G56130	7	5	0.190419071894445	1.81229110468258e-10	ANN_11_01	2.02837196716397e-09	Leucine-rich repeat transmembrane protein kinase;(source:Araport11)
AT2G42610	3	3	0.0952095359472224	7.67506284360146e-05	ANN_11_01	0.000135360199241699	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640);(source:Araport11)
AT3G13170	3	0	0.0476047679736112	3.97709230121637e-06	ANN_11_01	1.28592651072663e-05	Encodes AtSPO11-1, one of the three Arabidopsis homologues of the archaeal DNA topoisomerase VIA subunit (topo VIA).  Required for meiotic recombination.  AtSPO11-1 and AtSPO11-2 have overlapping functions (i.e. both required for meiotic recombination) whereas AtSPO11-3 functions in DNA replication. AtSPO11-1 accumulates in foci in early G2. At 1 h post-S phase, no foci are observed, but by  3 h a majority (80%) of meiocytes at this time point  contain >50 foci. However, by 5 h, AtSPO11-1 foci are  no longer detectable. This suggests that the protein undergoes  a rapid cycle of accumulation and disappearance  in meiocytes over a period of between 1 and 5 h post-S  phase.
AT3G14840	12	9	0.333233375815279	5.93356741484814e-17	ANN_11_01	2.15833514715101e-15	Encodes LRR-RLK protein that  is localized to the plasma membrane and is involved in regulation of plant innate immunity to microbes. LIK1 is phosphorylated by CERK1, a kinase involved in chitin perception. The mRNA is cell-to-cell mobile.
AT3G26300	4	17	0.333233375815279	0.000303243112247082	ANN_11_01	0.000454864668370624	putative cytochrome P450
AT4G13750	3	3	0.0952095359472224	7.67506284360146e-05	ANN_11_01	0.000135360199241699	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.
AT4G14130	7	1	0.12694604792963	1.93465965143959e-12	ANN_11_01	2.963083992468e-11	xyloglucan endotransglycosylase-related protein (XTR7)
AT4G21390	3	13	0.25389209585926	0.0019089496420663	ANN_11_01	0.00234848395523879	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G26690	4	2	0.0952095359472224	9.18622625522324e-07	ANN_11_01	3.81884548609995e-06	Glycerophosphoryl diester phosphodiesterase-like protein involved in cell wall cellulose accumulation and pectin linking. Impacts root hair, trichome and epidermal cell development.
AT4G27130	3	4	0.111077791938426	0.00013272627057464	ANN_11_01	0.000216985082793372	Translation initiation factor SUI1 family protein;(source:Araport11)
AT4G27160	5	0	0.0793412799560187	9.90601601854487e-10	ANN_11_01	9.60883553798853e-09	seed storage albumin 3;(source:Araport11)
AT4G27190	5	11	0.25389209585926	3.7428221157547e-06	ANN_11_01	1.28592651072663e-05	NB-ARC domain-containing disease resistance protein;(source:Araport11)
AT4G27290	35	63	1.55508908713797	7.43152834461328e-38	ANN_11_01	2.16257474828247e-35	S-locus lectin protein kinase family protein;(source:Araport11)
AT4G27300	12	17	0.460179423744908	9.3312425766893e-15	ANN_11_01	2.46853780892417e-13	S-locus lectin protein kinase family protein;(source:Araport11)
AT5G38020	3	0	0.0476047679736112	3.97709230121637e-06	ANN_11_01	1.28592651072663e-05	encodes a protein whose sequence is similar to SAM:salicylic acid carboxyl methyltransferase (SAMT) (GI:6002712)(Clarkia breweri) and to SAM:benzoic acid carboxyl methyltransferase (BAMT)(GI:9789277)(Antirrhinum majus). SABATH family methyltransferase.
AT5G54250	3	1	0.063473023964815	1.57199209866642e-05	ANN_11_01	4.15863364283572e-05	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.
AT5G56180	3	3	0.0952095359472224	7.67506284360146e-05	ANN_11_01	0.000135360199241699	encodes a protein whose sequence is similar to actin-related proteins (ARPs) in other organisms. Member of nuclear ARP family of genes.
AT1G47960	8	0	0.309268560861634	4.90226653655424e-12	ANN_13_01	7.13279781068642e-11	Plant cell wall (CWI) and vacuolar invertases (VI)  play important roles in carbohydrate metabolism, stress responses  and sugar signaling. This protein may inhibit their activity.
AT2G18950	5	10	0.579878551615563	0.000186178985817249	ANN_13_01	0.000300989360404552	Encodes homogentisate phytyltransferase involved in tocopherol biosynthesis. Has impact on seed longevity and plays a role in the adaptation to low temperature stress, notably phloem loading.
AT2G36430	4	5	0.347927130969338	0.000239811466505089	ANN_13_01	0.000365558954926746	transmembrane protein, putative (DUF247);(source:Araport11)
AT2G36750	5	1	0.231951420646225	4.98313037728605e-07	ANN_13_01	2.25781077697289e-06	UDP-glucosyl transferase 73C1;(source:Araport11)
AT2G36780	4	13	0.657195691830972	0.00353562836873224	ANN_13_01	0.00398785990426776	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT2G36800	5	1	0.231951420646225	4.98313037728605e-07	ANN_13_01	2.25781077697289e-06	Encodes a DON-Glucosyltransferase.  The UGT73C5 glucosylates both brassinolide and castasterone in the 23-O position. The enzyme is presumably involved in the homeostasis of those steroid hormones hence regulating BR activity. Transgenic plants overexpressing UGT73C5 show a typical BR-deficient phenotype.
AT2G36870	3	3	0.231951420646225	0.00105626325421893	ANN_13_01	0.00137835249765788	Encodes a xyloglucan endotransglycosylase/hydrolase. Protein sequence and phylogenetic analysis indicates that this enzyme resides in Group III-A of the XTH family, with high similarity to Tropaeolum majus (nasturtium) xyloglucanase 1 (TmNXG1). By sequence similarity to XTH31 (At3g44990) and in vivo analysis, likely to exhibit predominant xyloglucan endo-hydrolase activity (EC 3.2.1.151) with only limited potential to act as a xyloglucan endo-transglycosylase (EC 2.4.1.207).
AT2G37040	4	5	0.347927130969338	0.000239811466505089	ANN_13_01	0.000365558954926746	Encodes PAL1, a phenylalanine ammonia-lyase.  Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).
AT3G11680	4	2	0.231951420646225	3.13511824135886e-05	ANN_13_01	6.9989924149948e-05	aluminum activated malate transporter family protein;(source:Araport11)
AT3G13610	3	3	0.231951420646225	0.00105626325421893	ANN_13_01	0.00137835249765788	Encodes a Fe(II)- and 2-oxoglutarate-dependent dioxygenase family gene F6'H1. Mutations in this gene compromise iron uptake and the production of fluorescent phenolics involved in Fe uptake. The mRNA is cell-to-cell mobile.
AT3G15720	5	4	0.347927130969338	9.4901444381166e-06	ANN_13_01	2.73428914009102e-05	Pectin lyase-like superfamily protein;(source:Araport11)
AT3G25830	4	12	0.618537121723268	0.00278833591898219	ANN_13_01	0.00327373469528471	Encodes the monoterpene 1,8-cineole synthase, atTPS-Cin. This polypeptide was also shown to synthesize other monoterpenes albeit in minor quantities. The same polypeptide is encoded at two different loci, the result of gene duplication: at3g25820 and at3g25830.
AT3G45140	6	7	0.502561411400155	4.48851141091724e-06	ANN_13_01	1.40446969954507e-05	Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection. The mRNA is cell-to-cell mobile.
AT3G48410	5	5	0.386585701077042	1.83730128631651e-05	ANN_13_01	4.73145729485047e-05	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT3G56970	4	2	0.231951420646225	3.13511824135886e-05	ANN_13_01	6.9989924149948e-05	Encodes a member of the basic helix-loop-helix transcription factor family protein.
AT3G57650	3	3	0.231951420646225	0.00105626325421893	ANN_13_01	0.00137835249765788	Encodes an endoplasmic reticulum localized protein with lysophosphatidyl acyltransferase activity.
AT4G23420	3	7	0.386585701077042	0.00564120510182409	ANN_13_01	0.00619468182879551	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)
AT5G01160	5	0	0.193292850538521	8.58079258467258e-08	ANN_13_01	4.99402128427944e-07	Encodes a member of a core set of mRNA m6A writer proteins and is required for N6-adenosine methylation of mRNA.
AT5G25250	3	0	0.115975710323113	5.76669874360384e-05	ANN_13_01	0.000108265118347659	Encodes a protein that is involved in a membrane microdomain-dependent, but clathrin-independent, endocytic pathway required  for optimal seedling development. The mRNA is cell-to-cell mobile.
AT5G41210	3	1	0.154634280430817	0.000223992449024312	ANN_13_01	0.00035233406846527	Encodes glutathione transferase belonging to the theta class of GSTs. Naming convention according to Wagner et al. (2002).
AT5G51740	3	5	0.309268560861634	0.00278998695680621	ANN_13_01	0.00327373469528471	Mitochondrial ATP-independent protease .Important for maintenance of proper function of the oxphos system.
AT5G56540	3	0	0.115975710323113	5.76669874360384e-05	ANN_13_01	0.000108265118347659	Encodes arabinogalactan protein (AGP14). Mutants exhibit longer root hairs. The mRNA is cell-to-cell mobile.
AT5G60250	13	8	0.811829972261789	6.24792252438484e-14	ANN_13_01	1.3985734266123e-12	zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)
AT1G22750	3	8	0.257840417822425	0.00184004545498482	ANN_15_01	0.00227852437191738	transmembrane protein;(source:Araport11)
AT1G76250	3	1	0.0937601519354274	5.04543601854582e-05	ANN_15_01	9.72332371785982e-05	transmembrane protein;(source:Araport11)
AT2G17280	4	1	0.117200189919284	1.47197433767036e-06	ANN_15_01	5.86773331865855e-06	Phosphoglycerate mutase family protein;(source:Araport11)
AT3G02100	4	22	0.609440987580278	0.00297281463878513	ANN_15_01	0.00346035623954589	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT3G15880	3	6	0.210960341854712	0.000970201393576235	ANN_15_01	0.00132548641094218	WUS-interacting protein 2;(source:Araport11)
AT3G21630	3	7	0.234400379838569	0.00136188430200053	ANN_15_01	0.00173819443807963	LysM receptor-like kinase, based on protein sequence alignment analysis, it has a typical RD signaling domain in its catalytic loop and possesses autophosphorylation activity. Involved in the perception and transduction of the chitin oligosaccharide elicitor. Located in the plasma membrane. CERK1 phosphorylates LIK1, a LLR-RLK that is involved in innate immunity,
AT3G51550	9	80	2.08616338056326	0.000244879487559044	ANN_15_01	0.000369222439791097	Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.
AT4G25420	5	5	0.234400379838569	1.59992491390599e-06	ANN_15_01	6.29159662090058e-06	Encodes gibberellin 20-oxidase that is involved in the later steps of the gibberellin biosynthetic pathway. Regulated by a circadian clock. Weak expression response to far red light.
AT5G60250	4	17	0.492240797660994	0.00130585282198828	ANN_15_01	0.00167402278061053	zinc finger (C3HC4-type RING finger) family protein;(source:Araport11)
AT1G65480	4	1	0.0326111402653872	8.79737364136981e-09	ARG_06_01	7.11121036010727e-08	FT, together with LFY, promotes flowering and is antagonistic with its homologous gene, TERMINAL FLOWER1 (TFL1). Together with TSF, it plays an antagonistic role to TFL1 in the determination of inflorescence meristem identity. FT is expressed in leaves and is induced by long day treatment. Either the FT mRNA or protein is translocated to the shoot apex where it induces its own expression. Recent data suggests that FT protein acts as a long-range signal. FT is a target of CO and acts upstream of SOC1.
AT1G75900	4	2	0.0391333683184647	2.62565358594981e-08	ARG_06_01	1.86357364271072e-07	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
AT4G12560	12	31	0.28045580628233	5.89147228114157e-17	ARG_06_01	2.15833514715101e-15	Encodes CPR1 (Constitutive Expresser of PR Genes 1, also known as CPR30), a F-Box protein that functions as a negative regulator of defense response and targets resistance proteins.
AT5G36930	5	47	0.339155858760027	2.2980988704759e-05	ARG_06_01	5.76505837334902e-05	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
AT5G42170	3	1	0.0260889122123098	1.09186093747354e-06	ARG_06_01	4.41293795562222e-06	SGNH hydrolase-type esterase superfamily protein;(source:Araport11)
AT1G08510	7	6	0.296923807381863	4.82489456096758e-09	ARG_10_01	4.25467974921687e-08	Encodes an acyl-acyl carrier protein thioesterase. Hydrolyzes primarily saturated acyl-ACPs with chain lengths that vary between 8 and 18 carbons. Involved in saturated fatty acid synthesis. Nuclear-encoded, plastid-targeted globular protein that is functional as dimer.
AT1G09155	3	0	0.0685208786265837	1.18771102733251e-05	ARG_10_01	3.32330681686308e-05	phloem protein 2-B15;(source:Araport11)
AT1G49390	4	5	0.205562635879751	3.10868475732544e-05	ARG_10_01	6.9989924149948e-05	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)
AT1G52190	4	18	0.502486443261614	0.00142442304403039	ARG_10_01	0.00179440305546686	Encodes a low affinity nitrate transporter that is expressed in the plasma membrane and found in the phloem of the major veins of leaves.  It is responsible for nitrate redistribution to young leaves.
AT1G77210	5	1	0.137041757253167	3.61999454672465e-08	ARG_10_01	2.28288908211369e-07	AtSTP14 belongs to the family of sugar transport proteins (AtSTPs)in volved in monosaccharide transport. Heterologous expression in yeast revealed that AtSTP14 is the transporter specifc for galactose and does not transport other monosaccharides such as glucose or fructose.
AT2G06990	3	2	0.11420146437764	0.000114751903071751	ARG_10_01	0.000193021987247859	Encodes a putative DExH-box RNA helicase that acts redundantly with HEN1, HUA1, and HUA2 in the specification of floral organ identity in the third whorl.
AT2G18950	6	9	0.342604393132919	5.86108852434802e-07	ARG_10_01	2.54563695609742e-06	Encodes homogentisate phytyltransferase involved in tocopherol biosynthesis. Has impact on seed longevity and plays a role in the adaptation to low temperature stress, notably phloem loading.
AT2G19910	4	0	0.0913611715021116	2.70406544184515e-07	ARG_10_01	1.38049656767884e-06	RNA-dependent RNA polymerase family protein;(source:Araport11)
AT2G26730	3	9	0.274083514506335	0.00223938015309133	ARG_10_01	0.00270398184460406	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT3G02645	13	15	0.639528200514781	1.15476788526509e-14	ARG_10_01	2.80031212176785e-13	transmembrane protein, putative (DUF247);(source:Araport11)
AT3G13050	3	3	0.137041757253167	0.000225593904874207	ARG_10_01	0.000352945302787065	Encodes a plant nicotinate transporter than can also transport trigonelline (N-methylnicotinate).
AT3G23600	5	4	0.205562635879751	7.17879421308519e-07	ARG_10_01	3.07210164118792e-06	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
AT3G23880	6	13	0.43396556463503	2.93816513417119e-06	ARG_10_01	1.08228614435926e-05	F-box and associated interaction domains-containing protein;(source:Araport11)
AT3G24550	3	4	0.159882050128695	0.000388071308730995	ARG_10_01	0.000579121799183177	Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807). The mRNA is cell-to-cell mobile.
AT3G51740	4	4	0.182722343004223	1.75895283946118e-05	ARG_10_01	4.57013639538575e-05	encodes a leucine-repeat receptor kinase expressed in inflorescence meristem. Locus association was made from performing sequence analysis with IMK3 (MRLK) whose locus association was provided by the authors. The mRNA is cell-to-cell mobile.
AT4G16195	3	8	0.251243221630807	0.00170843780615633	ARG_10_01	0.00212459573329697	Plant self-incompatibility protein S1 family;(source:Araport11)
AT4G17250	6	19	0.571007321888198	1.70588454367835e-05	ARG_10_01	4.47218380369729e-05	transmembrane protein;(source:Araport11)
AT5G20510	3	5	0.182722343004223	0.000610360376932825	ARG_10_01	0.000867535216086949	Encodes a member of the Alfin1-like family of nuclear-localized PHD (plant homeodomain) domain containing proteins. All AL proteins except AL3 bind to di- or trimethylated histone H3 (H3K4me3/2). Members of this family include: AT5G05610 (AL1), AT3G11200 (AL2), AT3G42790 (AL3), AT5G26210 (AL4), AT5G20510 (AL5), AT2G02470 (AL6), AT1G14510 (AL7).
AT5G47580	25	37	1.41609815828273	4.44981522876789e-25	ARG_10_01	3.23724057892864e-23	transmembrane protein;(source:Araport11)
AT5G48430	5	2	0.159882050128695	1.24302422403208e-07	ARG_10_01	6.69851942950623e-07	Eukaryotic aspartyl protease family protein;(source:Araport11)
AT5G58300	3	7	0.228402928755279	0.00126390777840729	ARG_10_01	0.00162742107750673	Leucine-rich repeat protein kinase family protein;(source:Araport11)
AT5G65940	5	10	0.342604393132919	1.52618360532886e-05	ARG_10_01	4.15064887056728e-05	hydrolyzes beta-hydroxyisobutyryl-CoA
AT1G22400	4	7	0.189944273683684	2.64095433165927e-05	PETFAL_05_syn1	6.51286195349872e-05	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
AT3G48090	3	1	0.0690706449758852	2.02427012719055e-05	PETFAL_05_syn1	5.12228353923871e-05	Component of R gene-mediated disease resistance in Arabidopsis thaliana with homology to eukaryotic lipases.
AT3G48280	6	21	0.466226853587225	5.63626024197288e-06	PETFAL_05_syn1	1.70849138584803e-05	putative cytochrome P450
AT3G48770	6	0	0.103605967463828	2.59484419460467e-11	PETFAL_05_syn1	3.28304200273895e-10	ATP/DNA binding protein;(source:Araport11)
AT3G61440	3	2	0.0863383062198566	4.99547098502817e-05	PETFAL_05_syn1	9.69121371095466e-05	Encodes a cysteine synthase isomer CysC1. The isomer is however less effective in cysteine biosynthesis. It is involved in beta-cyanoalanine biosynthesis, an intermediate of cyanide detoxification pathway. The mRNA is cell-to-cell mobile.
AT4G12300	3	22	0.431691531099283	0.00888587440768231	PETFAL_05_syn1	0.00954165849681016	member of CYP706A
AT4G26090	3	2	0.0863383062198566	4.99547098502817e-05	PETFAL_05_syn1	9.69121371095466e-05	Encodes a plasma membrane protein with  leucine-rich repeat, leucine zipper, and P loop domains that confers resistance to Pseudomonas syringae infection by interacting with the avirulence gene avrRpt2.  RPS2 protein interacts directly with plasma membrane associated protein RIN4 and this interaction is disrupted by avrRpt2. The mRNA is cell-to-cell mobile.
AT4G27420	4	1	0.0863383062198566	4.34695552988141e-07	PETFAL_05_syn1	2.06484545070283e-06	ABC-2 type transporter family protein;(source:Araport11)
AT5G07740	3	16	0.328085563635455	0.00404172668718437	PETFAL_05_syn1	0.00454109060220329	actin binding protein;(source:Araport11)
AT5G10980	11	8	0.328085563635455	2.50782322810725e-15	PETFAL_05_syn1	7.2977655937921e-14	Histone superfamily protein;(source:Araport11)
AT5G48930	9	7	0.276282579903541	1.33111743658861e-12	PETFAL_05_syn1	2.15197318915159e-11	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
AT5G55050	3	9	0.207211934927656	0.001003948211504	PETFAL_05_syn1	0.00136518191377413	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates. The mRNA is cell-to-cell mobile.
AT5G55340	3	0	0.0518029837319139	5.12678774048072e-06	PETFAL_05_syn1	1.57041603418936e-05	MBOAT (membrane bound O-acyl transferase) family protein;(source:Araport11)
AT1G02170	3	6	0.125046855086588	0.000210548520364359	PETFAL_09_syn1	0.000336646260582575	Encodes a type I metacaspase. Two Arabidopsis metacaspases, AT1G02170 (MC1) and AT4G25110 (MC2)  antagonistically control programmed cell death in Arabidopsis. MC1 is a positive regulator of cell death and requires conserved caspase-like putative catalytic residues for its function. MC2 negatively regulates cell death. This function is independent of the putative catalytic residues.  A third type I Arabidopsis metacaspase is MC3 (AT5g64240).
AT1G15520	3	21	0.333458280230902	0.00434530224170021	PETFAL_09_syn1	0.00482627081043802	ABC transporter family involved in ABA transport and resistance to lead. Localizes to plasma membrane. Upregulated by lead. Expressed in leaves, flowers, stomata and roots.
AT1G34070	3	6	0.125046855086588	0.000210548520364359	PETFAL_09_syn1	0.000336646260582575	Copia-like polyprotein/retrotransposon;(source:Araport11)
AT1G49230	3	2	0.0694704750481046	2.61294090391877e-05	PETFAL_09_syn1	6.49885301743899e-05	RING/U-box superfamily protein;(source:Araport11)
AT2G17480	3	4	0.0972586650673464	8.95701033280868e-05	PETFAL_09_syn1	0.000155148214693293	A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).
AT3G06240	5	65	0.972586650673464	0.00293045307737224	PETFAL_09_syn1	0.00342474636753142	F-box family protein;(source:Araport11)
AT3G16520	3	3	0.0833645700577255	5.1717884806775e-05	PETFAL_09_syn1	9.90125294656022e-05	UDP-glucosyl transferase 88A1;(source:Araport11)
AT3G25830	4	12	0.222305520153935	5.87581360339066e-05	PETFAL_09_syn1	0.000109606522986326	Encodes the monoterpene 1,8-cineole synthase, atTPS-Cin. This polypeptide was also shown to synthesize other monoterpenes albeit in minor quantities. The same polypeptide is encoded at two different loci, the result of gene duplication: at3g25820 and at3g25830.
AT3G56400	4	11	0.208411425144314	4.45579273922713e-05	PETFAL_09_syn1	8.82065093275575e-05	Member of WRKY Transcription Factor; Group III. Function as activator of SA-dependent defense genes and a repressor of JA-regulated genes. WRKY70-controlled suppression of  JA-signaling is partly executed by NPR1.
AT4G16730	3	4	0.0972586650673464	8.95701033280868e-05	PETFAL_09_syn1	0.000155148214693293	In the Col ecotype, no functional protein is encoded at this locus due to the presence of a two-base (AT) insertion 184 nucleotides  downstream of the start codon leading to a  frame shift and premature translational termination. However, in the Ws ecotype, a functional terpene synthase that localizes to the chloroplast is encoded at this locus. It can catalyze the synthesis of (E)-beta-ocimene and (E,E)-alpha farnesene in vitro, but, it has more activity as an (E)-beta-ocimene synthase activity in vivo. This may reflect the greater availability of the GPP precursor of (E)-beta-ocimene than of the FPP precursor of (E,E)-alpha-farnesene in the chloroplasts where the Ws TPS02 is present.
AT5G06160	3	0	0.0416822850288627	2.66794281450742e-06	PETFAL_09_syn1	1.00827449223592e-05	Encodes a protein with similarity to pre-mRNA splicing factor SF3a60 that is involved in gametic cell fate determination. Loss of function results in the ectopic expression of egg cell makers suggesting a role in restriction of gametic cell fate.  Expressed strongly in gametophytes and weakly in sporophytes.
AT5G13750	12	3	0.208411425144314	2.01521802169375e-20	PETFAL_09_syn1	1.17285688862576e-18	zinc induced facilitator-like 1;(source:Araport11)
AT5G16530	5	3	0.111152760076967	2.75158153005213e-08	PETFAL_09_syn1	1.90645291725041e-07	Encodes PIN5, an atypical member of the PIN family.  PIN5 is a functional auxin transporter that is required for auxin-mediated development. PIN5 does not have a direct role in cell-to-cell transport but regulates intracellular auxin homeostasis and metabolism. PIN5 localizes, unlike other characterized plasma membrane PIN proteins, to endoplasmic reticulum (ER), presumably mediating auxin flow from the cytosol to the lumen of the ER. It acts together with PIN8 in affecting pollen development and auxin homeostasis.
AT5G53220	4	0	0.0555763800384836	3.68714044190184e-08	PETFAL_09_syn1	2.28288908211369e-07	hypothetical protein;(source:Araport11)
AT1G17840	5	4	0.288327460829148	3.78905929459757e-06	PETFAL_11_syn1	1.28592651072663e-05	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.
AT1G22360	5	8	0.416472998975435	3.47626180636469e-05	PETFAL_11_syn1	7.17441266419946e-05	UDP-glucosyl transferase 85A2;(source:Araport11)
AT1G25260	3	4	0.224254691756004	0.00104223494817475	PETFAL_11_syn1	0.00137835249765788	Involved in male gamete development. Trans-acting factor in the assembly of the pre-60S particle.
